region_code,full_name,name_depth,code_depth,children_count,has_children
510244,경북>봉화군,2,2,10,1
510245,경북>울진군,2,2,12,1
510246,경북>울릉군,2,2,3,1
510248,경남>시지역,2,2,0,0
510249,경남>군지역,2,2,0,0
510250,경남>창원시,2,2,5,1
510251,경남>진주시,2,2,49,1
510252,경남>통영시,2,2,24,1
510253,경남>사천시,2,2,35,1
510254,경남>김해시,2,2,41,1
510255,경남>밀양시,2,2,19,1
510256,경남>거제시,2,2,23,1
510257,경남>양산시,2,2,26,1
510258,경남>의령군,2,2,13,1
510259,경남>함안군,2,2,11,1
510260,경남>창녕군,2,2,14,1
510261,경남>고성군,2,2,14,1
510262,경남>남해군,2,2,10,1
510263,경남>하동군,2,2,13,1
510264,경남>산청군,2,2,11,1
510265,경남>함양군,2,2,11,1
510266,경남>거창군,2,2,12,1
510267,경남>합천군,2,2,17,1
510269,제주>시지역,2,2,0,0
510270,제주>제주시,2,2,47,1
510271,제주>서귀포시,2,2,27,1
520096,경기>수원시>장안구,3,3,11,1
520097,경기>수원시>권선구,3,3,16,1
520098,경기>수원시>팔달구,3,3,22,1
520099,경기>수원시>영통구,3,3,7,1
520101,경기>성남시>수정구,3,3,17,1
520102,경기>성남시>중원구,3,3,9,1
520103,경기>성남시>분당구,3,3,18,1
520106,경기>안양시>만안구,3,3,3,1
520107,경기>안양시>동안구,3,3,4,1
520109,경기>부천시>원미구,3,3,9,1
520110,경기>부천시>소사구,3,3,7,1
520111,경기>부천시>오정구,3,3,8,1
520116,경기>안산시>상록구,3,3,15,1
520117,경기>안산시>단원구,3,3,15,1
520119,경기>고양시>덕양구,3,3,32,1
520120,경기>고양시>일산동구,3,3,13,1
520121,경기>고양시>일산서구,3,3,8,1
520131,경기>용인시>처인구,3,3,20,1
520132,경기>용인시>기흥구,3,3,18,1
520133,경기>용인시>수지구,3,3,7,1
520171,충북>청주시>상당구,3,3,31,1
520172,충북>청주시>서원구,3,3,14,1
520173,충북>청주시>흥덕구,3,3,34,1
520174,충북>청주시>청원구,3,3,16,1
520189,충남>천안시>동남구,3,3,28,1
520190,충남>천안시>서북구,3,3,15,1
520209,전북>전주시>완산구,3,3,47,1
520210,전북>전주시>덕진구,3,3,38,1
520253,경북>포항시>남구,3,3,24,1
520254,경북>포항시>북구,3,3,31,1
520281,경남>창원시>의창구,3,3,32,1
520282,경남>창원시>성산구,3,3,41,1
520283,경남>창원시>마산합포구,3,3,64,1
520284,경남>창원시>마산회원구,3,3,9,1
520285,경남>창원시>진해구,3,3,65,1
530009,서울>종로구>청운동,3,3,0,0
530010,서울>종로구>신교동,3,3,0,0
530011,서울>종로구>궁정동,3,3,0,0
530012,서울>종로구>효자동,3,3,0,0
530013,서울>종로구>창성동,3,3,0,0
530014,서울>종로구>통의동,3,3,0,0
530015,서울>종로구>적선동,3,3,0,0
530016,서울>종로구>통인동,3,3,0,0
530017,서울>종로구>누상동,3,3,0,0
530018,서울>종로구>누하동,3,3,0,0
530019,서울>종로구>옥인동,3,3,0,0
530020,서울>종로구>체부동,3,3,0,0
530021,서울>종로구>필운동,3,3,0,0
530022,서울>종로구>내자동,3,3,0,0
530023,서울>종로구>사직동,3,3,0,0
530024,서울>종로구>도렴동,3,3,0,0
530025,서울>종로구>당주동,3,3,0,0
530026,서울>종로구>내수동,3,3,0,0
530027,서울>종로구>세종로,3,3,0,0
530028,서울>종로구>신문로1가,3,3,0,0
530029,서울>종로구>신문로2가,3,3,0,0
530030,서울>종로구>청진동,3,3,0,0
530031,서울>종로구>서린동,3,3,0,0
530032,서울>종로구>수송동,3,3,0,0
530033,서울>종로구>중학동,3,3,0,0
530034,서울>종로구>종로1가,3,3,0,0
530035,서울>종로구>공평동,3,3,0,0
530036,서울>종로구>관훈동,3,3,0,0
530037,서울>종로구>견지동,3,3,0,0
530038,서울>종로구>와룡동,3,3,0,0
530039,서울>종로구>권농동,3,3,0,0
530040,서울>종로구>운니동,3,3,0,0
530041,서울>종로구>익선동,3,3,0,0
530042,서울>종로구>경운동,3,3,0,0
530043,서울>종로구>관철동,3,3,0,0
530044,서울>종로구>인사동,3,3,0,0
530045,서울>종로구>낙원동,3,3,0,0
530046,서울>종로구>종로2가,3,3,0,0
530047,서울>종로구>팔판동,3,3,0,0
530048,서울>종로구>삼청동,3,3,0,0
530049,서울>종로구>안국동,3,3,0,0
530050,서울>종로구>소격동,3,3,0,0
530051,서울>종로구>화동,3,3,0,0
530052,서울>종로구>사간동,3,3,0,0
530053,서울>종로구>송현동,3,3,0,0
530054,서울>종로구>가회동,3,3,0,0
530055,서울>종로구>재동,3,3,0,0
530056,서울>종로구>계동,3,3,0,0
530057,서울>종로구>원서동,3,3,0,0
530058,서울>종로구>훈정동,3,3,0,0
530059,서울>종로구>묘동,3,3,0,0
530060,서울>종로구>봉익동,3,3,0,0
530061,서울>종로구>돈의동,3,3,0,0
530062,서울>종로구>장사동,3,3,0,0
530063,서울>종로구>관수동,3,3,0,0
530064,서울>종로구>종로3가,3,3,0,0
530065,서울>종로구>인의동,3,3,0,0
530066,서울>종로구>예지동,3,3,0,0
530067,서울>종로구>원남동,3,3,0,0
530068,서울>종로구>연지동,3,3,0,0
530069,서울>종로구>종로4가,3,3,0,0
530070,서울>종로구>효제동,3,3,0,0
530071,서울>종로구>종로5가,3,3,0,0
530072,서울>종로구>종로6가,3,3,0,0
530073,서울>종로구>이화동,3,3,0,0
530074,서울>종로구>연건동,3,3,0,0
530075,서울>종로구>충신동,3,3,0,0
530076,서울>종로구>동숭동,3,3,0,0
530077,서울>종로구>혜화동,3,3,0,0
530078,서울>종로구>명륜1가,3,3,0,0
530079,서울>종로구>명륜2가,3,3,0,0
530080,서울>종로구>명륜4가,3,3,0,0
