region_code,name,lawd_code
530242,회기동,11230108
530243,휘경동,11230109
530244,이문동,11230110
530246,면목동,11260101
530247,상봉동,11260102
530248,중화동,11260103
530249,묵동,11260104
530250,망우동,11260105
530251,신내동,11260106
530253,성북동,11290101
530254,성북동1가,11290102
530255,돈암동,11290103
530256,동소문동1가,11290104
530257,동소문동2가,11290105
530258,동소문동3가,11290106
530259,동소문동4가,11290107
530260,동소문동5가,11290108
530261,동소문동6가,11290109
530262,동소문동7가,11290110
530263,삼선동1가,11290111
530264,삼선동2가,11290112
530265,삼선동3가,11290113
530266,삼선동4가,11290114
530267,삼선동5가,11290115
530268,동선동1가,11290116
530269,동선동2가,11290117
530270,동선동3가,11290118
530271,동선동4가,11290119
530272,동선동5가,11290120
530273,안암동1가,11290121
530274,안암동2가,11290122
530275,안암동3가,11290123
530276,안암동4가,11290124
530277,안암동5가,11290125
530278,보문동4가,11290126
530279,보문동5가,11290127
530280,보문동6가,11290128
530281,보문동7가,11290129
530282,보문동1가,11290130
530283,보문동2가,11290131
530284,보문동3가,11290132
530285,정릉동,11290133
530286,길음동,11290134
530287,종암동,11290135
530288,하월곡동,11290136
530289,상월곡동,11290137
530290,장위동,11290138
530291,석관동,11290139
530293,미아동,11305101
530294,번동,11305102
530295,수유동,11305103
530296,우이동,11305104
530298,쌍문동,11320105
530299,방학동,11320106
530300,창동,11320107
530301,도봉동,11320108
530303,월계동,11350102
530304,공릉동,11350103
530305,하계동,11350104
530306,상계동,11350105
530307,중계동,11350106
530309,수색동,11380101
530310,녹번동,11380102
530311,불광동,11380103
530312,갈현동,11380104
530313,구산동,11380105
530314,대조동,11380106
530315,응암동,11380107
530316,역촌동,11380108
530317,신사동,11380109
530318,증산동,11380110
530319,진관동,11380114
530321,충정로2가,11410101
530322,충정로3가,11410102
530323,합동,11410103
530324,미근동,11410104
530325,냉천동,11410105
530326,천연동,11410106
530327,옥천동,11410107
530328,영천동,11410108
530329,현저동,11410109
530330,북아현동,11410110
530331,홍제동,11410111
530332,대현동,11410112
530333,대신동,11410113
530334,신촌동,11410114
530335,봉원동,11410115
530336,창천동,11410116
530337,연희동,11410117
530338,홍은동,11410118
530339,북가좌동,11410119
530340,남가좌동,11410120
530342,아현동,11440101
530343,공덕동,11440102
