region_code,name,extra_code,true_level,parent_code,child_count,min_child_level,max_child_level
510191,전북>장수군,52740000,1,500019,7,2,2
510192,전북>임실군,52750000,1,500019,12,2,2
510193,전북>순창군,52770000,1,500019,11,2,2
510194,전북>고창군,52790000,1,500019,14,2,2
510195,전북>부안군,52800000,1,500019,13,2,2
510197,전남>시지역,1001110,1,500020,0,0,0
510198,전남>군지역,1001120,1,500020,0,0,0
510199,전남>목포시,46110000,1,500020,64,2,2
510200,전남>여수시,46130000,1,500020,58,2,2
510201,전남>순천시,46150000,1,500020,44,2,2
510202,전남>나주시,46170000,1,500020,47,2,2
510203,전남>광양시,46230000,1,500020,17,2,2
510204,전남>담양군,46710000,1,500020,13,2,2
510205,전남>곡성군,46720000,1,500020,11,2,2
510206,전남>구례군,46730000,1,500020,8,2,2
510207,전남>고흥군,46770000,1,500020,16,2,2
510208,전남>보성군,46780000,1,500020,12,2,2
510209,전남>화순군,46790000,1,500020,15,2,2
510210,전남>장흥군,46800000,1,500020,10,2,2
510211,전남>강진군,46810000,1,500020,11,2,2
510212,전남>해남군,46820000,1,500020,14,2,2
510213,전남>영암군,46830000,1,500020,11,2,2
510214,전남>무안군,46840000,1,500020,9,2,2
510215,전남>함평군,46860000,1,500020,9,2,2
510216,전남>영광군,46870000,1,500020,11,2,2
510217,전남>장성군,46880000,1,500020,11,2,2
510218,전남>완도군,46890000,1,500020,12,2,2
510219,전남>진도군,46900000,1,500020,7,2,2
510220,전남>신안군,46910000,1,500020,14,2,2
510222,경북>시지역,1001130,1,500021,0,0,0
510223,경북>군지역,1001140,1,500021,0,0,0
510224,경북>포항시,47110000,1,500021,2,2,2
510225,경북>경주시,47130000,1,500021,57,2,2
510226,경북>김천시,47150000,1,500021,35,2,2
510227,경북>안동시,47170000,1,500021,56,2,2
510228,경북>구미시,47190000,1,500021,39,2,2
510229,경북>영주시,47210000,1,500021,23,2,2
510230,경북>영천시,47230000,1,500021,41,2,2
510231,경북>상주시,47250000,1,500021,55,2,2
510232,경북>문경시,47280000,1,500021,20,2,2
510233,경북>경산시,47290000,1,500021,37,2,2
510234,경북>(구)군위군,47720000,1,500021,8,2,2
510235,경북>의성군,47730000,1,500021,18,2,2
510236,경북>청송군,47750000,1,500021,9,2,2
510237,경북>영양군,47760000,1,500021,6,2,2
510238,경북>영덕군,47770000,1,500021,9,2,2
510239,경북>청도군,47820000,1,500021,9,2,2
510240,경북>고령군,47830000,1,500021,9,2,2
510241,경북>성주군,47840000,1,500021,11,2,2
510242,경북>칠곡군,47850000,1,500021,8,2,2
510243,경북>예천군,47900000,1,500021,15,2,2
510244,경북>봉화군,47920000,1,500021,10,2,2
510245,경북>울진군,47930000,1,500021,12,2,2
510246,경북>울릉군,47940000,1,500021,3,2,2
510248,경남>시지역,1001150,1,500022,0,0,0
510249,경남>군지역,1001160,1,500022,0,0,0
510250,경남>창원시,48120000,1,500022,5,2,2
510251,경남>진주시,48170000,1,500022,49,2,2
510252,경남>통영시,48220000,1,500022,24,2,2
510253,경남>사천시,48240000,1,500022,35,2,2
510254,경남>김해시,48250000,1,500022,41,2,2
510255,경남>밀양시,48270000,1,500022,19,2,2
510256,경남>거제시,48310000,1,500022,23,2,2
510257,경남>양산시,48330000,1,500022,26,2,2
510258,경남>의령군,48720000,1,500022,13,2,2
510259,경남>함안군,48730000,1,500022,11,2,2
510260,경남>창녕군,48740000,1,500022,14,2,2
510261,경남>고성군,48820000,1,500022,14,2,2
510262,경남>남해군,48840000,1,500022,10,2,2
510263,경남>하동군,48850000,1,500022,13,2,2
510264,경남>산청군,48860000,1,500022,11,2,2
510265,경남>함양군,48870000,1,500022,11,2,2
510266,경남>거창군,48880000,1,500022,12,2,2
510267,경남>합천군,48890000,1,500022,17,2,2
510269,제주>시지역,1001170,1,500023,0,0,0
510270,제주>제주시,50110000,1,500023,47,2,2
510271,제주>서귀포시,50130000,1,500023,27,2,2
531597,세종>반곡동,36110101,1,500014,0,0,0
531598,세종>소담동,36110102,1,500014,0,0,0
531599,세종>보람동,36110103,1,500014,0,0,0
531600,세종>대평동,36110104,1,500014,0,0,0
531601,세종>가람동,36110105,1,500014,0,0,0
531602,세종>한솔동,36110106,1,500014,0,0,0
531603,세종>나성동,36110107,1,500014,0,0,0
531604,세종>새롬동,36110108,1,500014,0,0,0
531605,세종>다정동,36110109,1,500014,0,0,0
531606,세종>어진동,36110110,1,500014,0,0,0
531607,세종>종촌동,36110111,1,500014,0,0,0
531608,세종>고운동,36110112,1,500014,0,0,0
531609,세종>아름동,36110113,1,500014,0,0,0
531610,세종>도담동,36110114,1,500014,0,0,0
531611,세종>산울동,36110115,1,500014,0,0,0
531612,세종>해밀동,36110116,1,500014,0,0,0
531613,세종>합강동,36110117,1,500014,0,0,0
531614,세종>집현동,36110118,1,500014,0,0,0
531615,세종>세종동,36110119,1,500014,0,0,0
531616,세종>누리동,36110120,1,500014,0,0,0
531617,세종>한별동,36110121,1,500014,0,0,0
531618,세종>다솜동,36110122,1,500014,0,0,0
531619,세종>용호동,36110123,1,500014,0,0,0
531620,세종>조치원읍,36110250,1,500014,0,0,0
531621,세종>연기면,36110310,1,500014,0,0,0
531622,세종>연동면,36110320,1,500014,0,0,0
531623,세종>부강면,36110330,1,500014,0,0,0
531624,세종>금남면,36110340,1,500014,0,0,0
531625,세종>장군면,36110350,1,500014,0,0,0
531626,세종>연서면,36110360,1,500014,0,0,0
531627,세종>전의면,36110370,1,500014,0,0,0
531628,세종>전동면,36110380,1,500014,0,0,0
531629,세종>소정면,36110390,1,500014,0,0,0
520096,경기>수원시>장안구,41111000,2,510095,11,3,3
520097,경기>수원시>권선구,41113000,2,510095,16,3,3
520098,경기>수원시>팔달구,41115000,2,510095,22,3,3
520099,경기>수원시>영통구,41117000,2,510095,7,3,3
520101,경기>성남시>수정구,41131000,2,510096,17,3,3
520102,경기>성남시>중원구,41133000,2,510096,9,3,3
520103,경기>성남시>분당구,41135000,2,510096,18,3,3
520106,경기>안양시>만안구,41171000,2,510098,3,3,3
520107,경기>안양시>동안구,41173000,2,510098,4,3,3
520109,경기>부천시>원미구,41192000,2,510099,9,3,3
520110,경기>부천시>소사구,41194000,2,510099,7,3,3
520111,경기>부천시>오정구,41196000,2,510099,8,3,3
520116,경기>안산시>상록구,41271000,2,510103,15,3,3
520117,경기>안산시>단원구,41273000,2,510103,15,3,3
520119,경기>고양시>덕양구,41281000,2,510104,32,3,3
520120,경기>고양시>일산동구,41285000,2,510104,13,3,3
520121,경기>고양시>일산서구,41287000,2,510104,8,3,3
520131,경기>용인시>처인구,41461000,2,510113,20,3,3
520132,경기>용인시>기흥구,41463000,2,510113,18,3,3
520133,경기>용인시>수지구,41465000,2,510113,7,3,3
520171,충북>청주시>상당구,43111000,2,510150,31,3,3
520172,충북>청주시>서원구,43112000,2,510150,14,3,3
520173,충북>청주시>흥덕구,43113000,2,510150,34,3,3
520174,충북>청주시>청원구,43114000,2,510150,16,3,3
520189,충남>천안시>동남구,44131000,2,510164,28,3,3
520190,충남>천안시>서북구,44133000,2,510164,15,3,3
520209,전북>전주시>완산구,52111000,2,510182,47,3,3
520210,전북>전주시>덕진구,52113000,2,510182,38,3,3
520253,경북>포항시>남구,47111000,2,510224,24,3,3
520254,경북>포항시>북구,47113000,2,510224,31,3,3
520281,경남>창원시>의창구,48121000,2,510250,32,3,3
520282,경남>창원시>성산구,48123000,2,510250,41,3,3
520283,경남>창원시>마산합포구,48125000,2,510250,64,3,3
520284,경남>창원시>마산회원구,48127000,2,510250,9,3,3
520285,경남>창원시>진해구,48129000,2,510250,65,3,3
530009,서울>종로구>청운동,11110101,2,510008,0,0,0
530010,서울>종로구>신교동,11110102,2,510008,0,0,0
530011,서울>종로구>궁정동,11110103,2,510008,0,0,0
530012,서울>종로구>효자동,11110104,2,510008,0,0,0
530013,서울>종로구>창성동,11110105,2,510008,0,0,0
530014,서울>종로구>통의동,11110106,2,510008,0,0,0
530015,서울>종로구>적선동,11110107,2,510008,0,0,0
530016,서울>종로구>통인동,11110108,2,510008,0,0,0
530017,서울>종로구>누상동,11110109,2,510008,0,0,0
530018,서울>종로구>누하동,11110110,2,510008,0,0,0
530019,서울>종로구>옥인동,11110111,2,510008,0,0,0
530020,서울>종로구>체부동,11110112,2,510008,0,0,0
530021,서울>종로구>필운동,11110113,2,510008,0,0,0
530022,서울>종로구>내자동,11110114,2,510008,0,0,0
530023,서울>종로구>사직동,11110115,2,510008,0,0,0
530024,서울>종로구>도렴동,11110116,2,510008,0,0,0
530025,서울>종로구>당주동,11110117,2,510008,0,0,0
530026,서울>종로구>내수동,11110118,2,510008,0,0,0
530027,서울>종로구>세종로,11110119,2,510008,0,0,0
530028,서울>종로구>신문로1가,11110120,2,510008,0,0,0
530029,서울>종로구>신문로2가,11110121,2,510008,0,0,0
530030,서울>종로구>청진동,11110122,2,510008,0,0,0
530031,서울>종로구>서린동,11110123,2,510008,0,0,0
530032,서울>종로구>수송동,11110124,2,510008,0,0,0
530033,서울>종로구>중학동,11110125,2,510008,0,0,0
530034,서울>종로구>종로1가,11110126,2,510008,0,0,0
530035,서울>종로구>공평동,11110127,2,510008,0,0,0
530036,서울>종로구>관훈동,11110128,2,510008,0,0,0
530037,서울>종로구>견지동,11110129,2,510008,0,0,0
530038,서울>종로구>와룡동,11110130,2,510008,0,0,0
530039,서울>종로구>권농동,11110131,2,510008,0,0,0
530040,서울>종로구>운니동,11110132,2,510008,0,0,0
530041,서울>종로구>익선동,11110133,2,510008,0,0,0
530042,서울>종로구>경운동,11110134,2,510008,0,0,0
530043,서울>종로구>관철동,11110135,2,510008,0,0,0
530044,서울>종로구>인사동,11110136,2,510008,0,0,0
530045,서울>종로구>낙원동,11110137,2,510008,0,0,0
530046,서울>종로구>종로2가,11110138,2,510008,0,0,0
530047,서울>종로구>팔판동,11110139,2,510008,0,0,0
530048,서울>종로구>삼청동,11110140,2,510008,0,0,0
530049,서울>종로구>안국동,11110141,2,510008,0,0,0
530050,서울>종로구>소격동,11110142,2,510008,0,0,0
530051,서울>종로구>화동,11110143,2,510008,0,0,0
530052,서울>종로구>사간동,11110144,2,510008,0,0,0
530053,서울>종로구>송현동,11110145,2,510008,0,0,0
530054,서울>종로구>가회동,11110146,2,510008,0,0,0
530055,서울>종로구>재동,11110147,2,510008,0,0,0
530056,서울>종로구>계동,11110148,2,510008,0,0,0
530057,서울>종로구>원서동,11110149,2,510008,0,0,0
530058,서울>종로구>훈정동,11110150,2,510008,0,0,0
530059,서울>종로구>묘동,11110151,2,510008,0,0,0
530060,서울>종로구>봉익동,11110152,2,510008,0,0,0
530061,서울>종로구>돈의동,11110153,2,510008,0,0,0
530062,서울>종로구>장사동,11110154,2,510008,0,0,0
530063,서울>종로구>관수동,11110155,2,510008,0,0,0
530064,서울>종로구>종로3가,11110156,2,510008,0,0,0
530065,서울>종로구>인의동,11110157,2,510008,0,0,0
530066,서울>종로구>예지동,11110158,2,510008,0,0,0
530067,서울>종로구>원남동,11110159,2,510008,0,0,0
530068,서울>종로구>연지동,11110160,2,510008,0,0,0
530069,서울>종로구>종로4가,11110161,2,510008,0,0,0
530070,서울>종로구>효제동,11110162,2,510008,0,0,0
530071,서울>종로구>종로5가,11110163,2,510008,0,0,0
530072,서울>종로구>종로6가,11110164,2,510008,0,0,0
530073,서울>종로구>이화동,11110165,2,510008,0,0,0
530074,서울>종로구>연건동,11110166,2,510008,0,0,0
