region_code,parent_code
520210,510182
520253,510224
520254,510224
520281,510250
520282,510250
520283,510250
520284,510250
520285,510250
530009,510008
530010,510008
530011,510008
530012,510008
530013,510008
530014,510008
530015,510008
530016,510008
530017,510008
530018,510008
530019,510008
530020,510008
530021,510008
530022,510008
530023,510008
530024,510008
530025,510008
530026,510008
530027,510008
530028,510008
530029,510008
530030,510008
530031,510008
530032,510008
530033,510008
530034,510008
530035,510008
530036,510008
530037,510008
530038,510008
530039,510008
530040,510008
530041,510008
530042,510008
530043,510008
530044,510008
530045,510008
530046,510008
530047,510008
530048,510008
530049,510008
530050,510008
530051,510008
530052,510008
530053,510008
530054,510008
530055,510008
530056,510008
530057,510008
530058,510008
530059,510008
530060,510008
530061,510008
530062,510008
530063,510008
530064,510008
530065,510008
530066,510008
530067,510008
530068,510008
530069,510008
530070,510008
530071,510008
530072,510008
530073,510008
530074,510008
530075,510008
530076,510008
530077,510008
530078,510008
530079,510008
530080,510008
530081,510008
530082,510008
530083,510008
530084,510008
530085,510008
530086,510008
530087,510008
530088,510008
530089,510008
530090,510008
530091,510008
530092,510008
530093,510008
530094,510008
530095,510008
530097,510009
530098,510009
530099,510009
530100,510009
530101,510009
530102,510009
530103,510009
530104,510009
530105,510009
530106,510009
530107,510009
530108,510009
530109,510009
530110,510009
530111,510009
530112,510009
530113,510009
530114,510009
530115,510009
530116,510009
530117,510009
530118,510009
530119,510009
530120,510009
530121,510009
530122,510009
530123,510009
530124,510009
530125,510009
530126,510009
530127,510009
530128,510009
530129,510009
530130,510009
530131,510009
530132,510009
530133,510009
530134,510009
530135,510009
530136,510009
530137,510009
530138,510009
530139,510009
530140,510009
530141,510009
530142,510009
530143,510009
530144,510009
530145,510009
530146,510009
530147,510009
530148,510009
530149,510009
530150,510009
530151,510009
530152,510009
530153,510009
530154,510009
530155,510009
530156,510009
530157,510009
530158,510009
530159,510009
530160,510009
530161,510009
530162,510009
530163,510009
530164,510009
530165,510009
530166,510009
530167,510009
530168,510009
530169,510009
530170,510009
530172,510010
530173,510010
530174,510010
530175,510010
530176,510010
530177,510010
530178,510010
530179,510010
530180,510010
530181,510010
530182,510010
530183,510010
530184,510010
530185,510010
530186,510010
530187,510010
530188,510010
530189,510010
530190,510010
530191,510010
530192,510010
530193,510010
530194,510010
530195,510010
530196,510010
530197,510010
530198,510010
530199,510010
530200,510010
530201,510010
530202,510010
530203,510010
530204,510010
530205,510010
530206,510010
530207,510010
530209,510011
530210,510011
530211,510011
530212,510011
530213,510011
530214,510011
530215,510011
530216,510011
530217,510011
530218,510011
530219,510011
530220,510011
530221,510011
530222,510011
530223,510011
530224,510011
530225,510011
530227,510012
530228,510012
530229,510012
530230,510012
530231,510012
530232,510012
530233,510012
530235,510013
530236,510013
530237,510013
530238,510013
530239,510013
530240,510013
530241,510013
530242,510013
530243,510013
530244,510013
530246,510014
530247,510014
530248,510014
530249,510014
530250,510014
530251,510014
530253,510015
530254,510015
530255,510015
530256,510015
530257,510015
530258,510015
530259,510015
530260,510015
530261,510015
530262,510015
530263,510015
530264,510015
530265,510015
530266,510015
530267,510015
530268,510015
530269,510015
530270,510015
530271,510015
530272,510015
530273,510015
530274,510015
530275,510015
530276,510015
530277,510015
530278,510015
530279,510015
530280,510015
530281,510015
530282,510015
530283,510015
530284,510015
530285,510015
530286,510015
530287,510015
530288,510015
530289,510015
530290,510015
530291,510015
530293,510016
530294,510016
530295,510016
530296,510016
530298,510017
530299,510017
530300,510017
530301,510017
530303,510018
530304,510018
530305,510018
530306,510018
530307,510018
530309,510019
530310,510019
530311,510019
530312,510019
530313,510019
530314,510019
530315,510019
530316,510019
530317,510019
530318,510019
530319,510019
530321,510020
530322,510020
530323,510020
530324,510020
530325,510020
530326,510020
530327,510020
530328,510020
530329,510020
530330,510020
530331,510020
530332,510020
530333,510020
530334,510020
530335,510020
530336,510020
530337,510020
530338,510020
530339,510020
530340,510020
530342,510021
530343,510021
530344,510021
530345,510021
530346,510021
530347,510021
530348,510021
530349,510021
530350,510021
530351,510021
530352,510021
530353,510021
530354,510021
530355,510021
530356,510021
530357,510021
530358,510021
530359,510021
530360,510021
530361,510021
530362,510021
530363,510021
530364,510021
530365,510021
530366,510021
530367,510021
530369,510022
530370,510022
530371,510022
530373,510023
530374,510023
530375,510023
530376,510023
530377,510023
530378,510023
530379,510023
530380,510023
530381,510023
530382,510023
